phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
41202#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41202#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
41202#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
41202#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
41200#W365#W36.5 Diagnostic extraction of bone marrow NEC,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41200#W365#W36.5 Diagnostic extraction of bone marrow NEC,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41200#W365#W36.5 Diagnostic extraction of bone marrow NEC,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
41202#Z400#Z40.0 Prophylactic surgery for risk-factors related to malignant neoplasms,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
41202#Z40#Z40 Prophylactic surgery,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
Union#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
Union#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0023370,neoplastic disease or syndrome
Source of report of E78 (disorders of lipoprotein metabolism and other lipidaemias),LDLR,,,,,EFO_0000589,metabolic disease
Source of report of E78 (disorders of lipoprotein metabolism and other lipidaemias),LDLR,,,,,OTAR_0000020,nutritional or metabolic disease
Source of report of E78 (disorders of lipoprotein metabolism and other lipidaemias),LDLR,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
41202#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003028,acute myeloblastic leukemia with maturation,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003028,acute myeloblastic leukemia with maturation,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003028,acute myeloblastic leukemia with maturation,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003027,acute myeloblastic leukemia without maturation,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003027,acute myeloblastic leukemia without maturation,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003027,acute myeloblastic leukemia without maturation,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0000222,acute myeloid leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0000222,acute myeloid leukemia,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0000222,acute myeloid leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003026,minimally differentiated acute myeloblastic leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003026,minimally differentiated acute myeloblastic leukemia,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,EFO_0003026,minimally differentiated acute myeloblastic leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,Orphanet_319480,Acute myeloid leukemia with CEBPA somatic mutations,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,Orphanet_319480,Acute myeloid leukemia with CEBPA somatic mutations,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,Orphanet_319480,Acute myeloid leukemia with CEBPA somatic mutations,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,Orphanet_319465,Inherited acute myeloid leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,Orphanet_319465,Inherited acute myeloid leukemia,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,Orphanet_319465,Inherited acute myeloid leukemia,MONDO_0023370,neoplastic disease or syndrome
40001#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
40001#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
40001#ChapterII#Chapter II Neoplasms,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#ChapterII#Chapter II Neoplasms,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
40001#ChapterII#Chapter II Neoplasms,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
42027#Source of end stage renal disease report,PKD1,,,,,EFO_0009690,urinary system disease
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003853,respiratory system neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003853,respiratory system neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003853,respiratory system neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003863,urogenital neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003863,urogenital neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003863,urogenital neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003769,endocrine neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003769,endocrine neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0003769,endocrine neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0002429,polycythemia vera,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0002429,polycythemia vera,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_0002429,polycythemia vera,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_1000201,Common Hematopoietic Neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_1000201,Common Hematopoietic Neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,EFO_1000201,Common Hematopoietic Neoplasm,MONDO_0023370,neoplastic disease or syndrome
40006#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
40006#D46#D46 Myelodysplastic syndromes,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0023370,neoplastic disease or syndrome
Union#E78#E78 Disorders of lipoprotein metabolism and other lipidaemias,LDLR,,,,,EFO_0000589,metabolic disease
Union#E78#E78 Disorders of lipoprotein metabolism and other lipidaemias,LDLR,,,,,OTAR_0000020,nutritional or metabolic disease
Union#E78#E78 Disorders of lipoprotein metabolism and other lipidaemias,LDLR,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
41202#C920#C92.0 Acute myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
20002#1340#thalassaemia,HBB,EFO_1001996,Thalassemia,,,EFO_0005803,hematologic disease
Union#BlockJ09-J18#J09-J18 Influenza and pneumonia,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockJ09-J18#J09-J18 Influenza and pneumonia,ASXL1,,,EFO_0000772,pneumococcal infection,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockJ09-J18#J09-J18 Influenza and pneumonia,ASXL1,,,EFO_0007499,streptococcal pneumonia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockJ09-J18#J09-J18 Influenza and pneumonia,ASXL1,,,EFO_0003106,pneumonia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockJ09-J18#J09-J18 Influenza and pneumonia,ASXL1,,,EFO_1001272,bacterial pneumonia,OTAR_0000018,"genetic, familial or congenital disease"
Union#N17#N17 Acute renal failure,ASXL1,HP_0001919,Acute kidney injury,MONDO_0002492,acute kidney failure,OTAR_0000018,"genetic, familial or congenital disease"
Union#N17#N17 Acute renal failure,ASXL1,HP_0001919,Acute kidney injury,HP_0001919,Acute kidney injury,OTAR_0000018,"genetic, familial or congenital disease"
20002#2#dermatology,FLG,,,,,EFO_0010285,integumentary system disease
20002#1473#high cholesterol,LDLR,HP_0003124,Hypercholesterolemia,,,EFO_0000589,metabolic disease
20002#1473#high cholesterol,LDLR,HP_0003124,Hypercholesterolemia,,,OTAR_0000020,nutritional or metabolic disease
20002#1473#high cholesterol,LDLR,HP_0003124,Hypercholesterolemia,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
40006#D469#D46.9 Myelodysplastic syndrome| unspecified,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0023370,neoplastic disease or syndrome
41202#N18#N18 Chronic renal failure,PKD1,EFO_0003884,chronic kidney disease,,,EFO_0009690,urinary system disease
Union#ChapterXVII#Chapter XVII Congenital malformations| deformations and chromosomal abnormalities,PKD1,,,,,EFO_0009690,urinary system disease
Union#ChapterXVII#Chapter XVII Congenital malformations| deformations and chromosomal abnormalities,PKD1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#ChapterXVII#Chapter XVII Congenital malformations| deformations and chromosomal abnormalities,PKD1,,,,,EFO_0010285,integumentary system disease
Union#ChapterXVII#Chapter XVII Congenital malformations| deformations and chromosomal abnormalities,PKD1,,,,,EFO_0000319,cardiovascular disease
Union#N28#N28 Other disorders of kidney and ureter| not elsewhere classified,PKD1,,,EFO_0009690,urinary system disease,EFO_0009690,urinary system disease
Union#N28#N28 Other disorders of kidney and ureter| not elsewhere classified,PKD1,,,EFO_0009690,urinary system disease,OTAR_0000018,"genetic, familial or congenital disease"
20002#1427#polycystic kidney,PKD2,EFO_0008620,Polycystic Kidney Disease,,,EFO_0009690,urinary system disease
41272#M01#M01 Transplantation of kidney,PKD1,,,,,EFO_0009690,urinary system disease
41202#Q61#Q61 Cystic kidney disease,PKD1,EFO_0008615,Cystic Kidney Disease,,,EFO_0009690,urinary system disease
20002#8#haematology|dermatology,FLG,,,,,EFO_0010285,integumentary system disease
20002#8#haematology|dermatology,FLG,,,,,EFO_0005803,hematologic disease
41200#M01#M01 Transplantation of kidney,PKD1,,,,,EFO_0009690,urinary system disease
Union#N179#N17.9 Acute renal failure| unspecified,ASXL1,HP_0001919,Acute kidney injury,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#Q613#Q61.3 Polycystic kidney| unspecified,PKD2,EFO_0008620,Polycystic Kidney Disease,EFO_1001496,Autosomal dominant polycystic kidney disease,EFO_0009690,urinary system disease
Union#BlockC50-C50#C50-C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,EFO_0003869,breast neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockC50-C50#C50-C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,MONDO_0007254,breast cancer,MONDO_0045024,cancer or benign tumor
Union#BlockC50-C50#C50-C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,Orphanet_145,Hereditary breast and ovarian cancer syndrome,MONDO_0045024,cancer or benign tumor
Union#BlockC76-C80#C76-C80 Malignant neoplasms of ill-defined| secondary and unspecified sites,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockC76-C80#C76-C80 Malignant neoplasms of ill-defined| secondary and unspecified sites,BRCA2,,,,,EFO_0009690,urinary system disease
Union#BlockC76-C80#C76-C80 Malignant neoplasms of ill-defined| secondary and unspecified sites,BRCA2,,,EFO_0000311,cancer,MONDO_0045024,cancer or benign tumor
Union#BlockC76-C80#C76-C80 Malignant neoplasms of ill-defined| secondary and unspecified sites,BRCA2,,,EFO_0000311,cancer,EFO_0009690,urinary system disease
41202#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD1,,,,,EFO_0009690,urinary system disease
