acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000091831	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000169856	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000012504	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000143257	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000168610	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000107175	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000101412	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000007372	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000185591	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000106546	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000111087	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000116044	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000182968	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000072310	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000141510	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000144852	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000172216	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000134954	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000125798	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000125347	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000185122	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000158773	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000113580	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000100644	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000118513	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000136997	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000109320	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000106459	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000111424	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000188786	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000143190	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000105329	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000100219	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000170365	both
